순번,학원명,연락처,주소,설립·운영자,교습과정,정원,교습기간(일),총교습시간(분),교습비세부내역,,,"적용일
(최종교습비 
변경일)"
,,,,,,,,,교습비등(C=A+B),교습비(A),기타경비(B),
,,,,,교습계열,,,,기타경비 세부내역,,,
,,,,,교습과정,,,,모의고사비,재료비,급식비,
,,,,,교습과목,,,,기숙사비,피복비,차량비,
1,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1470,"350,000","350,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,고등단과수학,,,,0,0,0,
2,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1470,"350,000","350,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,고등단과영어,,,,0,0,0,
3,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1302,"270,000","270,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,중등단과수학,,,,0,0,0,
4,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1302,"270,000","270,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,중등단과영어,,,,0,0,0,
5,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1008,"180,000","180,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,초등단과수학A,,,,0,0,0,
6,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1176,"200,000","200,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,초등단과수학B,,,,0,0,0,
7,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1176,"200,000","200,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,초등단과영어A,,,,0,0,0,
8,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1344,"230,000","230,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,초등단과영어B,,,,0,0,0,
9,강앤장영수학원,,"경상북도 포항시 남구 효성로 27 , 3층 (효자동)",4,보통교과,10,1개월0일,1512,"250,000","250,000",0,20240731
,,,,,보습,,,,0,0,0,
,,,,,초등단과영어C,,,,0,0,0,
10,강영재수학학원,054-252-5525,"경상북도 포항시 북구 천마로72번길 26 , 2층 (양덕동)",2,보통교과,8,1개월0일,1080,"210,000","210,000",0,20171128
,,,,,보습,,,,0,0,0,
,,,,,국어(고등),,,,0,0,0,
11,강영재수학학원,054-252-5525,"경상북도 포항시 북구 천마로72번길 26 , 2층 (양덕동)",2,보통교과,8,1개월0일,1080,"180,000","180,000",0,20171128
,,,,,보습,,,,0,0,0,
,,,,,국어(중등),,,,0,0,0,
12,강영재수학학원,054-252-5525,"경상북도 포항시 북구 천마로72번길 26 , 2층 (양덕동)",2,보통교과,8,1개월0일,1080,"150,000","150,000",0,20171128
,,,,,보습,,,,0,0,0,
,,,,,국어(초등),,,,0,0,0,
13,강영재수학학원,054-252-5525,"경상북도 포항시 북구 천마로72번길 26 , 2층 (양덕동)",2,보통교과,30,1개월0일,1800,"300,000","300,000",0,20140116
,,,,,보습,,,,0,0,0,
,,,,,수학(고등),,,,0,0,0,
14,강영재수학학원,054-252-5525,"경상북도 포항시 북구 천마로72번길 26 , 2층 (양덕동)",2,보통교과,30,1개월0일,1800,"250,000","250,000",0,20140116
,,,,,보습,,,,0,0,0,
,,,,,수학(중등),,,,0,0,0,
15,강영재수학학원,054-252-5525,"경상북도 포항시 북구 천마로72번길 26 , 2층 (양덕동)",2,보통교과,30,1개월0일,1800,"190,000","190,000",0,20140116
,,,,,보습,,,,0,0,0,
,,,,,수학(초등),,,,0,0,0,
16,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,10,1개월0일,1140,"250,000","250,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,수학(고등A),,,,0,0,0,
17,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,8,1개월0일,1360,"300,000","300,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,수학(고등B),,,,0,0,0,
18,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,13,1개월0일,1120,"210,000","210,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,수학(중등A),,,,0,0,0,
19,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,13,1개월0일,1200,"220,000","220,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,수학(중등B),,,,0,0,0,
20,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,13,1개월0일,1280,"230,000","230,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,수학(중등C),,,,0,0,0,
21,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,13,1개월0일,1280,"200,000","200,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,수학(초등),,,,0,0,0,
22,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,5,1개월0일,1360,"300,000","300,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,영어(고등),,,,0,0,0,
23,개념원리수학학원,054-278-3949,"경상북도 포항시 남구 연일읍 유강길10번길 30 , 2층 (연일읍)",2,보통교과,5,1개월0일,1360,"250,000","250,000",0,20240524
,,,,,보습,,,,0,0,0,
,,,,,영어(중등),,,,0,0,0,
24,게이트웨이학원,054-284-9110,"경상북도 포항시 남구 동해면 연오로7번길 1 , 203호 (동해면)",4,보통교과,15,1개월0일,1080,"150,000","150,000",0,20191015
,,,,,보습,,,,0,0,0,
,,,,,수학 중등,,,,0,0,0,
25,게이트웨이학원,054-284-9110,"경상북도 포항시 남구 동해면 연오로7번길 1 , 203호 (동해면)",4,보통교과,8,1개월0일,1200,"130,000","130,000",0,20191015
,,,,,보습,,,,0,0,0,
,,,,,수학 초등,,,,0,0,0,
26,게이트웨이학원,054-284-9110,"경상북도 포항시 남구 동해면 연오로7번길 1 , 203호 (동해면)",4,보통교과,10,1개월0일,1440,"250,000","250,000",0,20191015
,,,,,보습,,,,0,0,0,
,,,,,영어 중등1,,,,0,0,0,
27,게이트웨이학원,054-284-9110,"경상북도 포항시 남구 동해면 연오로7번길 1 , 203호 (동해면)",4,보통교과,17,1개월0일,1080,"190,000","190,000",0,20191015
,,,,,보습,,,,0,0,0,
,,,,,영어 중등2,,,,0,0,0,
28,게이트웨이학원,054-284-9110,"경상북도 포항시 남구 동해면 연오로7번길 1 , 203호 (동해면)",4,보통교과,10,1개월0일,1200,"170,000","170,000",0,20191015
,,,,,보습,,,,0,0,0,
,,,,,영어 초등,,,,0,0,0,
29,고대윤수학학원,,"경상북도 포항시 남구 대이로159번길 6-11 , 3층 (이동)",3,보통교과,50,1개월0일,1200,"250,000","250,000",0,20181127
,,,,,보습,,,,0,0,0,
,,,,,수학(고등),,,,0,0,0,
30,고대윤수학학원,,"경상북도 포항시 남구 대이로159번길 6-11 , 3층 (이동)",3,보통교과,70,1개월0일,1140,"200,000","200,000",0,20181127
,,,,,보습,,,,0,0,0,
,,,,,수학(중등),,,,0,0,0,
31,고대윤수학학원,,"경상북도 포항시 남구 대이로159번길 6-11 , 3층 (이동)",3,보통교과,30,1개월0일,1080,"150,000","150,000",0,20181127
,,,,,보습,,,,0,0,0,
,,,,,수학(초등),,,,0,0,0,
32,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,1260,"280,000","280,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,고등과학,,,,0,0,0,
33,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,1260,"280,000","280,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,고등국어,,,,0,0,0,
34,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,12,1개월0일,1380,"310,000","310,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,고등수학A,,,,0,0,0,
35,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,12,1개월0일,2040,"450,000","450,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,고등수학B,,,,0,0,0,
36,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,840,"150,000","150,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,중등과학,,,,0,0,0,
37,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,840,"150,000","150,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,중등국어,,,,0,0,0,
38,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,840,"150,000","150,000",0,20221202
,,,,,보습,,,,0,0,0,
,,,,,중등사회,,,,0,0,0,
39,고려이스쿨수학원,054-283-5553,"경상북도 포항시 남구 연일읍 유강길17번길 22 , 2층 (연일읍)",4,보통교과,8,1개월0일,1140,"210,000","210,000",0,20221202
